10/22, 0.1, 64, clear
10:53, 9.0, 43, few clouds
10:53, 9.0, 43, few clouds
10:54, 2.2, 51, clear sky
10:54, 9.0, 43, few clouds
10:54, 9.0, 43, few clouds
10:54, 9.0, 43, few clouds
10:54, 9.0, 43, few clouds
10:54, 9.0, 43, few clouds
10:54, 9.0, 43, few clouds
10:55, 2.2, 51, clear sky
Seoul:10:55, 2.2, 51, clear sky
Busan:10:55, 9.0, 43, few clouds
Seoul:10:55, 2.2, 51, clear sky
Busan:10:55, 9.0, 43, few clouds
Seoul:10:55, 2.2, 51, clear sky
Busan:10:55, 9.0, 43, few clouds
Seoul:10:55, 2.2, 51, clear sky
Busan:10:55, 9.0, 43, few clouds
Seoul:10:55, 2.2, 51, clear sky
Busan:10:55, 9.0, 43, few clouds
10:56, 2.2, 51, clear sky
Seoul:10:56, 2.2, 51, clear sky
Busan:10:56, 9.0, 43, few clouds
Seoul:10:56, 2.2, 51, clear sky
Busan:10:56, 9.0, 43, few clouds
Seoul:10:56, 2.2, 51, clear sky
Busan:10:56, 9.0, 43, few clouds
Seoul:10:56, 2.2, 51, clear sky
Busan:10:56, 9.0, 43, few clouds
Seoul:10:56, 2.2, 51, clear sky
Busan:10:56, 9.0, 43, few clouds
Seoul:10:56, 2.2, 51, clear sky
Busan:10:56, 9.0, 43, few clouds
10:57, 2.2, 51, clear sky
Seoul:10:57, 2.2, 51, clear sky
Busan:10:57, 9.0, 43, few clouds
Seoul:10:57, 2.2, 51, clear sky
Busan:10:57, 9.0, 43, few clouds
Seoul:10:57, 2.2, 51, clear sky
Busan:10:57, 9.0, 43, few clouds
Seoul:10:57, 2.2, 51, clear sky
Busan:10:57, 9.0, 43, few clouds
Seoul:10:57, 2.2, 51, clear sky
Busan:10:57, 9.0, 43, few clouds
Seoul:10:57, 2.2, 51, clear sky
Busan:10:57, 9.0, 43, few clouds
10:58, 2.2, 51, clear sky
Seoul:10:58, 2.2, 51, clear sky
Busan:10:58, 9.0, 43, few clouds
Seoul:10:58, 2.2, 51, clear sky
Busan:10:58, 9.0, 43, few clouds
Seoul:10:58, 2.2, 51, clear sky
Busan:10:58, 9.0, 43, few clouds
Seoul:10:58, 2.2, 51, clear sky
Busan:10:58, 9.0, 43, few clouds
Seoul:10:58, 2.2, 51, clear sky
Busan:10:58, 9.0, 43, few clouds
Seoul:10:58, 2.2, 51, clear sky
Busan:10:58, 9.0, 43, few clouds
10:59, 2.2, 51, clear sky
Seoul:10:59, 2.2, 51, clear sky
Busan:10:59, 9.0, 43, few clouds
Seoul:10:59, 2.2, 51, clear sky
Busan:10:59, 9.0, 43, few clouds
Seoul:10:59, 2.2, 51, clear sky
Busan:10:59, 9.0, 43, few clouds
Seoul:10:59, 2.2, 51, clear sky
Busan:10:59, 9.0, 43, few clouds
Seoul:10:59, 2.2, 51, clear sky
Busan:10:59, 9.0, 43, few clouds
Seoul:10:59, 2.2, 51, clear sky
Busan:10:59, 9.0, 43, few clouds
11:00, 2.2, 51, clear sky
[Seoul, 11:00, 2.2, 51, clear sky][Busan, 11:00, 9.0, 43, few clouds][Seoul, 11:00, 2.2, 51, clear sky][Busan, 11:00, 9.0, 43, few clouds][Seoul, 11:00, 2.2, 51, clear sky][Busan, 11:00, 9.0, 43, few clouds][Seoul, 11:00, 2.2, 51, clear sky][Busan, 11:00, 9.0, 43, few clouds][Seoul, 11:00, 2.2, 51, clear sky][Busan, 11:00, 9.0, 43, few clouds][Seoul, 11:00, 2.2, 51, clear sky][Busan, 11:00, 9.0, 43, few clouds]11:01, 2.2, 51, clear sky
[Seoul, 11:01, 2.2, 51, clear sky][Busan, 11:01, 9.0, 43, few clouds][Seoul, 11:01, 2.2, 51, clear sky][Busan, 11:01, 9.0, 43, few clouds][Seoul, 11:01, 2.2, 51, clear sky][Busan, 11:01, 9.0, 43, few clouds][Seoul, 11:01, 2.2, 51, clear sky][Busan, 11:01, 9.0, 43, few clouds][Seoul, 11:01, 2.2, 51, clear sky][Busan, 11:01, 9.0, 43, few clouds][Seoul, 11:01, 2.2, 51, clear sky][Busan, 11:01, 9.0, 43, few clouds]11:02, 2.2, 51, clear sky
[Seoul, 11:02, 2.2, 51, clear sky][Busan, 11:02, 9.0, 43, few clouds][Seoul, 11:02, 2.2, 51, clear sky][Busan, 11:02, 9.0, 43, few clouds][Seoul, 11:02, 2.2, 51, clear sky][Busan, 11:02, 9.0, 43, few clouds][Seoul, 11:02, 2.2, 51, clear sky][Busan, 11:02, 9.0, 43, few clouds][Seoul, 11:02, 2.2, 51, clear sky][Busan, 11:02, 9.0, 43, few clouds][Seoul, 11:02, 3.7, 41, clear sky][Busan, 11:02, 9.0, 43, few clouds]11:03, 3.7, 41, clear sky
[Seoul, 11:03, 3.7, 41, clear sky][Busan, 11:03, 9.0, 43, few clouds][Seoul, 11:03, 2.2, 51, clear sky][Busan, 11:03, 9.0, 43, few clouds][Seoul, 11:03, 3.7, 41, clear sky][Busan, 11:03, 9.0, 43, few clouds][Seoul, 11:03, 3.7, 41, clear sky][Busan, 11:03, 9.0, 43, few clouds][Seoul, 11:03, 3.7, 41, clear sky][Busan, 11:03, 9.0, 43, few clouds][Seoul, 11:03, 3.7, 41, clear sky][Busan, 11:03, 9.0, 43, few clouds]11:04, 3.7, 41, clear sky
[Seoul, 11:04, 3.7, 41, clear sky][Busan, 11:04, 9.0, 43, few clouds][Seoul, 11:04, 3.7, 41, clear sky][Busan, 11:04, 9.0, 43, few clouds]Seoul, 11:04, 2.2, 51, clear skyBusan, 11:04, 9.0, 43, few cloudsSeoul, 11:04, 3.7, 41, clear skyBusan, 11:04, 9.0, 43, few cloudsSeoul, 11:04, 3.7, 41, clear skyBusan, 11:04, 9.0, 43, few clouds11:05, 3.7, 41, clear sky
Seoul, 11:05, 3.7, 41, clear skyBusan, 11:05, 9.0, 43, few clouds['Seoul, 11:05, 3.7, 41, clear sky']['Seoul, 11:05, 3.7, 41, clear sky', 'Busan, 11:05, 9.0, 43, few clouds']['Seoul, 11:05, 3.7, 41, clear sky']['Seoul, 11:05, 3.7, 41, clear sky', 'Busan, 11:05, 9.0, 43, few clouds']['Seoul, 11:05, 3.7, 41, clear sky']['Seoul, 11:05, 3.7, 41, clear sky', 'Busan, 11:05, 9.0, 43, few clouds']['Seoul, 11:05, 3.7, 41, clear sky']['Seoul, 11:05, 3.7, 41, clear sky', 'Busan, 11:05, 9.0, 43, few clouds']['Seoul, 11:05, 3.7, 41, clear sky']['Seoul, 11:05, 3.7, 41, clear sky', 'Busan, 11:05, 9.0, 43, few clouds']11:06, 3.7, 41, clear sky
str(record_list)
str(record_list)
str(record_list)
str(record_list)
str(record_list)
str(record_list)
['Seoul, 11:06, 3.7, 41, clear sky']
['Seoul, 11:06, 3.7, 41, clear sky', 'Busan, 11:06, 9.0, 43, few clouds']
11:07, 3.7, 41, clear sky
['Seoul, 11:07, 3.7, 41, clear sky']
['Seoul, 11:07, 3.7, 41, clear sky', 'Busan, 11:07, 9.0, 43, few clouds']
['Seoul, 11:07, 3.7, 41, clear sky']
['Seoul, 11:07, 3.7, 41, clear sky', 'Busan, 11:07, 9.0, 43, few clouds']
['Seoul, 11:07, 3.7, 41, clear sky']
['Seoul, 11:07, 3.7, 41, clear sky', 'Busan, 11:07, 9.0, 43, few clouds']
['Seoul, 11:07, 3.7, 41, clear sky']
['Seoul, 11:07, 3.7, 41, clear sky', 'Busan, 11:07, 9.0, 43, few clouds']
['Seoul, 11:07, 2.2, 51, clear sky', 'Busan, 11:07, 9.0, 43, few clouds']
11:08, 3.7, 41, clear sky
['Seoul, 11:08, 3.7, 41, clear sky', 'Busan, 11:08, 9.0, 43, few clouds']
['Seoul, 11:08, 3.7, 41, clear sky', 'Busan, 11:08, 9.0, 43, few clouds']
11:09, 2.2, 51, clear sky
['Seoul, 11:09, 3.7, 41, clear sky', 'Busan, 11:09, 9.0, 43, few clouds']
11:10, 2.2, 51, clear sky
['Seoul, 11:10, 3.7, 41, clear sky', 'Busan, 11:10, 9.1, 51, few clouds']
11:11, 3.7, 41, clear sky
['Seoul, 11:11, 4.7, 41, clear sky', 'Busan, 11:11, 9.1, 51, few clouds']
11:12, 3.7, 41, clear sky
['Seoul, 11:12, 4.7, 41, clear sky', 'Busan, 11:12, 9.1, 51, few clouds']
11:13, 4.7, 41, clear sky
['Seoul, 11:13, 4.7, 41, clear sky', 'Busan, 11:13, 9.1, 51, few clouds']
11:14, 4.7, 41, clear sky
['Seoul, 11:14, 4.7, 41, clear sky', 'Busan, 11:14, 9.1, 51, few clouds']
11:15, 4.7, 41, clear sky
['Seoul, 11:15, 4.7, 41, clear sky', 'Busan, 11:15, 9.1, 51, few clouds']
11:16, 4.7, 41, clear sky
['Seoul, 11:16, 4.7, 41, clear sky', 'Busan, 11:16, 9.1, 51, few clouds']
11:17, 4.7, 41, clear sky
11:18, 4.7, 41, clear sky
['[Seoul, 11:18, 4.7, 41, clear sky]', '[Busan, 11:18, 9.1, 51, few clouds]']
11:19, 4.7, 41, clear sky
['[Seoul, 11:19, 4.7, 41, clear sky]', '[Busan, 11:19, 9.1, 51, few clouds]']
11:20, 4.7, 41, clear sky
['[Seoul, 11:20, 4.7, 41, clear sky]', '[Busan, 11:20, 9.1, 51, few clouds]']
['[Seoul, 11:20, 4.7, 41, clear sky]', '[Busan, 11:20, 10.0, 32, few clouds]']
['[Seoul, 11:20, 4.7, 41, clear sky]', '[Busan, 11:20, 9.1, 51, few clouds]']
['[Seoul, 11:20, 4.7, 41, clear sky]', '[Busan, 11:20, 10.0, 32, few clouds]']
11:21, 4.7, 41, clear sky
['[Seoul, 11:21, 4.7, 41, clear sky]', '[Busan, 11:21, 10.0, 32, few clouds]']
['[Seoul, 11:21, 4.7, 41, clear sky]', '[Busan, 11:21, 10.0, 32, few clouds]']
['[Seoul, 11:21, 4.7, 41, clear sky]', '[Busan, 11:21, 10.0, 32, few clouds]']
['[Seoul, 11:21, 3.2, 35, clear sky]', '[Busan, 11:21, 10.0, 32, few clouds]']
11:22, 4.7, 41, clear sky
['[Seoul, 11:22, 4.7, 41, clear sky]', '[Busan, 11:22, 10.0, 32, few clouds]']
['[Seoul, 11:22, 4.7, 41, clear sky]', '[Busan, 11:22, 10.0, 32, few clouds]']
['[Seoul, 11:22, 4.7, 41, clear sky]', '[Busan, 11:22, 10.0, 32, few clouds]']
['[Seoul, 11:22, 4.7, 41, clear sky]', '[Busan, 11:22, 10.0, 32, few clouds]']
11:23, 4.7, 41, clear sky
['[Seoul, 11:23, 3.2, 35, clear sky]', '[Busan, 11:23, 10.0, 32, few clouds]']
['[Seoul, 11:23, 3.2, 35, clear sky]', '[Busan, 11:23, 10.0, 32, few clouds]']
['[Seoul, 11:23, 3.2, 35, clear sky]', '[Busan, 11:23, 10.0, 32, few clouds]']
['[Seoul, 11:23, 3.2, 35, clear sky]', '[Busan, 11:23, 10.0, 32, few clouds]']
11:24, 3.2, 35, clear sky
['[Seoul, 11:24, 3.2, 35, clear sky]', '[Busan, 11:24, 10.0, 32, few clouds]']
['[Seoul, 11:24, 3.2, 35, clear sky]', '[Busan, 11:24, 10.0, 32, few clouds]']
['[Seoul, 11:24, 3.2, 35, clear sky]', '[Busan, 11:24, 10.0, 32, few clouds]']
['[Seoul, 11:24, 3.2, 35, clear sky]', '[Busan, 11:24, 10.0, 32, few clouds]']
11:25, 3.2, 35, clear sky
['[Seoul, 11:25, 3.2, 35, clear sky]', '[Busan, 11:25, 10.0, 32, few clouds]']
['[Seoul, 11:25, 3.2, 35, clear sky]', '[Busan, 11:25, 10.0, 32, few clouds]']
11:26, 3.2, 35, clear sky
11:26, 3.2, 35, clear sky
11:26, 3.2, 35, clear sky
11:26, 3.2, 35, clear sky
11:26, 3.2, 35, clear sky
11:27, 3.2, 35, clear sky
11:27, 3.2, 35, clear sky
11:27, 3.2, 35, clear sky
11:27, 3.2, 35, clear sky
11:27, 3.2, 35, clear sky
11:27, 3.2, 35, clear sky
11:27, 3.2, 35, clear sky
11:28, 3.2, 35, clear sky
11:28, 3.2, 35, clear sky
11:28, 3.2, 35, clear sky
11:28, 3.2, 35, clear sky
11:28, 3.2, 35, clear sky
11:28, 3.2, 35, clear sky
11:28, 3.2, 35, clear sky
11:29, 3.2, 35, clear sky
11:29, 3.2, 35, clear sky
11:29, 3.2, 35, clear sky
11:29, 3.2, 35, clear sky
11:29, 3.2, 35, clear sky
11:29, 3.2, 35, clear sky
11:29, 3.2, 35, clear sky
11:30, 3.2, 35, clear sky
11:30, 3.2, 35, clear sky
11:30, 3.2, 35, clear sky
11:30, 3.2, 35, clear sky
11:30, 3.2, 35, clear sky
11:31, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:36, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:37, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:38, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:39, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:40, 3.0, 35, clear sky
11:41, 3.0, 35, clear sky
11:41, 3.0, 35, clear sky
11:41, 3.0, 35, clear sky
11:41, 3.0, 35, clear sky
11:41, 3.0, 35, clear sky
